query_id,query_text,category,complexity,source,overlap_type,original_length,anonymized_length,pii_entities_detected,pii_count,token_count,anonymization_stages,structure_preserved
PB_0001,What is the current balance on my savings account?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,50,50,[],0,11.700000000000001,multi_stage_presidio,True
PB_0002,Can you show me my recent transactions for the last 30 days?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,60,60,[],0,15.600000000000001,multi_stage_presidio,True
PB_0003,I need to transfer 500 EUR to another account. How do I do that?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,64,64,[],0,18.2,multi_stage_presidio,True
PB_0004,What are the interest rates for your savings accounts?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,54,54,[],0,11.700000000000001,multi_stage_presidio,True
PB_0005,How can I update my contact information?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,40,40,[],0,9.1,multi_stage_presidio,True
PB_0006,How does NordicBank comply with GDPR Article 5 regarding data minimization?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,75,75,[],0,14.3,multi_stage_presidio,True
PB_0007,Can I request a copy of all personal data you hold about me under GDPR Article 15?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,82,82,[],0,22.1,multi_stage_presidio,True
PB_0008,What is your process for deleting my data under the right to erasure?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,69,69,[],0,16.900000000000002,multi_stage_presidio,True
PB_0009,How long do you retain my transaction data according to GDPR?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,61,61,[],0,14.3,multi_stage_presidio,True
PB_0010,Who is your Customer_[REDACTED_ADDRESS_1001]and how can I contact them?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,63,71,"['PERSON', 'ADDRESS']",2,11.700000000000001,multi_stage_presidio,True
PB_0011,What documents do I need to open a new account?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,47,47,[],0,13.0,multi_stage_presidio,True
PB_0012,How do I set up a standing order for monthly payments?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,54,54,[],0,14.3,multi_stage_presidio,True
PB_0013,What are your fees for international wire transfers?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,52,52,[],0,10.4,multi_stage_presidio,True
PB_0014,Can I increase my overdraft limit?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,34,34,[],0,7.800000000000001,multi_stage_presidio,True
PB_0015,How do I report a lost or stolen debit card?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,44,44,[],0,13.0,multi_stage_presidio,True
PB_0016,I want to close my account. What is the procedure?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,50,50,[],0,13.0,multi_stage_presidio,True
PB_0017,Can I have multiple savings accounts under one profile?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,55,55,[],0,11.700000000000001,multi_stage_presidio,True
PB_0018,How do I add a joint account holder?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,36,36,[],0,10.4,multi_stage_presidio,True
PB_0019,What happens to my account if I move abroad?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,44,44,[],0,11.700000000000001,multi_stage_presidio,True
PB_0020,Can I change my account type from basic to premium?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,51,51,[],0,13.0,multi_stage_presidio,True
PB_0021,How do I reset my online banking password?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,42,42,[],0,10.4,multi_stage_presidio,True
PB_0022,What security measures does NordicBank use to protect my account?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,65,65,[],0,13.0,multi_stage_presidio,True
PB_0023,Can I set up two-factor authentication?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,39,39,[],0,7.800000000000001,multi_stage_presidio,True
PB_0024,How do I know if an email from the bank is legitimate?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,54,54,[],0,15.600000000000001,multi_stage_presidio,True
PB_0025,What should I do if I suspect unauthorized access to my account?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,64,64,[],0,15.600000000000001,multi_stage_presidio,True
PB_0026,Why is my payment showing as pending?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,37,37,[],0,9.1,multi_stage_presidio,True
PB_0027,How long do international transfers take?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,41,41,[],0,7.800000000000001,multi_stage_presidio,True
PB_0028,Can I cancel a scheduled payment?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,33,33,[],0,7.800000000000001,multi_stage_presidio,True
PB_0029,What is the maximum amount I can transfer per day?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,50,50,[],0,13.0,multi_stage_presidio,True
PB_0030,How do I track the status of a wire transfer?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,45,45,[],0,13.0,multi_stage_presidio,True
PB_0031,When will my new card arrive after ordering?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,44,44,[],0,10.4,multi_stage_presidio,True
PB_0032,What is the contactless payment limit?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,38,38,[],0,7.800000000000001,multi_stage_presidio,True
PB_0033,Can I use my card abroad without extra charges?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,47,47,[],0,11.700000000000001,multi_stage_presidio,True
PB_0034,How do I activate my new debit card?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,36,36,[],0,10.4,multi_stage_presidio,True
PB_0035,What should I do if my card is declined at a merchant?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,54,54,[],0,15.600000000000001,multi_stage_presidio,True
PB_0036,"I have EUR 5,000 in my account but need to pay a GBP 4,000 invoice. Can you process this with automatic conversion?",multi_currency,medium,nordicbank_phrasebank,edge_case_unique_80pct,115,115,['CURRENCY_AMOUNT'],1,28.6,multi_stage_presidio,True
PB_0037,My salary is paid in NOK but account is in EUR. Are there monthly conversion fees?,multi_currency,medium,nordicbank_phrasebank,edge_case_unique_80pct,82,82,[],0,20.8,multi_stage_presidio,True
PB_0038,"Received a USD payment of $10,000. The converted amount in my EUR account is €350 less than expected rate. Why?",multi_currency,medium,nordicbank_phrasebank,edge_case_unique_80pct,111,111,['CURRENCY_AMOUNT'],1,26.0,multi_stage_presidio,True
PB_0039,"Can I hold multiple currency sub-accounts (EUR, USD, GBP, SEK) under one main account without separate fees?",multi_currency,medium,nordicbank_phrasebank,edge_case_unique_80pct,108,108,['CURRENCY_AMOUNT'],1,22.1,multi_stage_presidio,True
PB_0040,Exchange rate changed between initiating transfer and execution. Which rate applies and who bears the difference?,multi_currency,medium,nordicbank_phrasebank,edge_case_unique_80pct,113,113,[],0,20.8,multi_stage_presidio,True
PB_0041,"Client paid me in JPY (¥500,000) to EUR account. Transaction stuck for 5 days with status 'currency validation'.",multi_currency,medium,nordicbank_phrasebank,edge_case_unique_80pct,112,112,[],0,23.400000000000002,multi_stage_presidio,True
PB_0042,Set up recurring payment in EUR but merchant now charges in USD. Will payments fail or auto-convert?,multi_currency,medium,nordicbank_phrasebank,edge_case_unique_80pct,100,100,[],0,22.1,multi_stage_presidio,True
PB_0043,Account shows negative balance of -€0.03 due to currency rounding. Will I be charged overdraft fees?,multi_currency,medium,nordicbank_phrasebank,edge_case_unique_80pct,100,100,['CURRENCY_AMOUNT'],1,20.8,multi_stage_presidio,True
PB_0044,"Transferred £5,000 GBP to EUR account. Received €5,650 but market rate should give €5,850. Fee disclosure issue?",multi_currency,medium,nordicbank_phrasebank,edge_case_unique_80pct,112,112,['CURRENCY_AMOUNT'],1,22.1,multi_stage_presidio,True
PB_0045,Can I specify maximum acceptable exchange rate for international transfers to avoid unfavorable conversions?,multi_currency,medium,nordicbank_phrasebank,edge_case_unique_80pct,108,108,[],0,18.2,multi_stage_presidio,True
PB_0046,Hold multi-currency card. Merchant charged in DKK but card statement shows EUR. Which exchange rate was used?,multi_currency,medium,nordicbank_phrasebank,edge_case_unique_80pct,109,109,[],0,22.1,multi_stage_presidio,True
PB_0047,Business account needs to accept payments in 8 currencies. Are there limits on number of currency sub-accounts?,multi_currency,medium,nordicbank_phrasebank,edge_case_unique_80pct,111,111,[],0,22.1,multi_stage_presidio,True
PB_0048,Forward contract for EUR/USD exchange locked at 1.18. Market now at 1.21. Can I cancel to get better rate?,multi_currency,medium,nordicbank_phrasebank,edge_case_unique_80pct,106,106,[],0,24.7,multi_stage_presidio,True
PB_0049,Vacation spending in Thailand (THB). Why are transactions converted THB→USD→EUR instead of direct?,multi_currency,medium,nordicbank_phrasebank,edge_case_unique_80pct,98,98,[],0,16.900000000000002,multi_stage_presidio,True
PB_0050,"Received inheritance of CHF 50,000. Swiss bank transfer to my EUR account - tax implications automatic reporting?",multi_currency,medium,nordicbank_phrasebank,edge_case_unique_80pct,113,113,[],0,22.1,multi_stage_presidio,True
PB_0051,Foreign pension payment (CAD) arrives quarterly. Each time different EUR amount despite same CAD value. Why?,multi_currency,medium,nordicbank_phrasebank,edge_case_unique_80pct,108,108,[],0,20.8,multi_stage_presidio,True
PB_0052,Set currency preference to EUR but online purchases from UK shops still charge in GBP. How to force EUR?,multi_currency,medium,nordicbank_phrasebank,edge_case_unique_80pct,104,104,[],0,24.7,multi_stage_presidio,True
PB_0053,Multi-currency account shows total balance in EUR but individual currency balances don't sum to total. Rounding issue?,multi_currency,medium,nordicbank_phrasebank,edge_case_unique_80pct,118,118,[],0,22.1,multi_stage_presidio,True
PB_0054,Emergency cash withdrawal abroad: ATM offered 'guaranteed rate' vs bank rate. Chose bank rate but charged guarantee rate. Dispute?,multi_currency,medium,nordicbank_phrasebank,edge_case_unique_80pct,130,130,[],0,24.7,multi_stage_presidio,True
PB_0055,Currency conversion disclosure: fee stated as '2.5% margin' but effective cost is 3.8%. How is margin calculated?,multi_currency,medium,nordicbank_phrasebank,edge_case_unique_80pct,113,113,[],0,22.1,multi_stage_presidio,True
PB_0056,"Under GDPR Article 22, do you use automated decision-making for loan applications? Can I request human review?",regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,110,110,[],0,22.1,multi_stage_presidio,True
PB_0057,GDPR Article 6 legal basis: is processing my data for marketing 'legitimate interest' or do I need to explicitly consent?,regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,121,121,[],0,26.0,multi_stage_presidio,True
PB_0058,Data breach notification came 74 hours after incident. GDPR requires 72 hours. What consequences for the bank?,regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,110,110,[],0,22.1,multi_stage_presidio,True
PB_0059,Requested data erasure (Art 17) but bank said 'legal obligation to retain' for 7 years. Which law supersedes GDPR?,regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,114,114,[],0,24.7,multi_stage_presidio,True
PB_0060,GDPR Article 20 data portability: I want to transfer my transaction history to competitor. What format will data be in?,regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,119,119,[],0,26.0,multi_stage_presidio,True
PB_0061,"Third-party credit scoring agency accessed my data. Under GDPR Article 13, should I have been notified beforehand?",regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,114,114,[],0,22.1,multi_stage_presidio,True
PB_0062,Data processing consent was bundled with account terms. GDPR Article 7 requires unbundled consent. Is this compliant?,regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,117,117,[],0,22.1,multi_stage_presidio,True
PB_0063,GDPR Article 32 security measures: what specific encryption standards does NordicBank use for data at rest?,regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,107,107,[],0,20.8,multi_stage_presidio,True
PB_0064,Joint account holder requested deletion of their data. Does this affect my account data under GDPR?,regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,99,99,[],0,20.8,multi_stage_presidio,True
PB_0065,"Customer_1002 15, requested details of data processing. Received 400-page PDF. Is machine-readable format available?",regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,116,116,['PERSON'],1,18.2,multi_stage_presidio,True
PB_0066,MiFID II requires 'best execution' for investments. How do you demonstrate this for foreign exchange transactions?,regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,114,114,[],0,20.8,multi_stage_presidio,True
PB_0067,EU AI Customer_1003 14: does your loan assessment AI require human oversight? How do I request human decision review?,regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,115,117,['PERSON'],1,24.7,multi_stage_presidio,True
PB_0068,GDPR fines up to 4% of turnover. Has NordicBank ever been fined? Is this public information?,regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,92,92,[],0,20.8,multi_stage_presidio,True
PB_0069,Data retention policy states 7 years but GDPR Article 5 requires 'no longer than necessary'. What's the justification?,regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,118,118,[],0,23.400000000000002,multi_stage_presidio,True
PB_0070,Received marketing email after opting out. GDPR Article 7(3) requires easy withdrawal. Is this a violation?,regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,107,107,[],0,20.8,multi_stage_presidio,True
PB_0071,"Cross-border data transfer to US subsidiary. Post-Schrems II, what legal mechanism allows this under GDPR?",regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,106,106,[],0,19.5,multi_stage_presidio,True
PB_0072,"Algorithmic credit scoring: GDPR Article 21 gives right to object. If I object, do you have alternative assessment?",regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,115,115,[],0,23.400000000000002,multi_stage_presidio,True
PB_0073,Customer_[REDACTED_ADDRESS_1002]_1005 (DPIA): has one been conducted for AI-powered fraud detection under Article 35?,regulatory_compliance,high,nordicbank_phrasebank,edge_case_unique_80pct,113,117,"['PERSON', 'ADDRESS']",2,16.900000000000002,multi_stage_presidio,True
PB_0074,Children's account (age 16): GDPR Article 8 requires parental consent for data processing. How is this verified?,regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,112,112,[],0,22.1,multi_stage_presidio,True
PB_0075,Profiling for targeted products: GDPR Article 22(1) prohibits automated decisions with legal effects. Does this apply?,regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,118,118,[],0,20.8,multi_stage_presidio,True
PB_0076,Right to rectification (Article 16): corrected my address 8 weeks ago but third parties still have old data. Bank's duty?,regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,121,121,[],0,26.0,multi_stage_presidio,True
PB_0077,Privacy policy updated without notice. GDPR Article 13(3) requires notification of changes. Was I supposed to be informed?,regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,122,122,[],0,23.400000000000002,multi_stage_presidio,True
PB_0078,Sensitive data categories (Article 9): does transaction history revealing medical payments require explicit consent?,regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,116,116,[],0,18.2,multi_stage_presidio,True
PB_0079,"Supervisory authority (Article 77): if I'm dissatisfied with data handling, which national DPA has jurisdiction?",regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,112,112,[],0,19.5,multi_stage_presidio,True
PB_0080,Legitimate interest assessment (Article 6(1)(f)): can I see the balancing test justifying fraud monitoring?,regulatory_compliance,medium,nordicbank_phrasebank,edge_case_unique_80pct,107,107,[],0,18.2,multi_stage_presidio,True
PB_0081,"Initiated transfer on Friday 4pm, bank holiday Monday, recipient abroad. When will funds arrive - counting business days?",complex_transactions,medium,nordicbank_phrasebank,edge_case_unique_80pct,121,121,[],0,23.400000000000002,multi_stage_presidio,True
PB_0082,"Standing order set for 31st of month. Customer_1006 (28 days), will payment process on 28th or skip that month?",complex_transactions,medium,nordicbank_phrasebank,edge_case_unique_80pct,109,111,['PERSON'],1,24.7,multi_stage_presidio,True
PB_0083,"Payment to merchant failed, merchant claims received, bank shows declined, my account debited. Who investigates?",complex_transactions,medium,nordicbank_phrasebank,edge_case_unique_80pct,112,112,[],0,19.5,multi_stage_presidio,True
PB_0084,"Scheduled payment for future date (30 days). In the meantime, linked account was closed. What happens?",complex_transactions,medium,nordicbank_phrasebank,edge_case_unique_80pct,102,102,[],0,20.8,multi_stage_presidio,True
PB_0085,Direct debit mandate: company took payment despite cancelled mandate 40 days prior. Bank's liability?,complex_transactions,medium,nordicbank_phrasebank,edge_case_unique_80pct,101,101,[],0,18.2,multi_stage_presidio,True
PB_0086,"Sent €10,000 to wrong IBAN (single digit typo). Recipient account exists and accepted funds. Can this be reversed?",complex_transactions,medium,nordicbank_phrasebank,edge_case_unique_80pct,114,114,['CURRENCY_AMOUNT'],1,23.400000000000002,multi_stage_presidio,True
PB_0087,"Payment of €25,000 split into 5 transactions of €5,000 each. Is this structuring/anti-money laundering concern?",complex_transactions,medium,nordicbank_phrasebank,edge_case_unique_80pct,111,111,['CURRENCY_AMOUNT'],1,19.5,multi_stage_presidio,True
PB_0088,"Real-time payment system: transferred €1,000, instantly reflected in recipient, but my account not debited for 2 hours. Error?",complex_transactions,medium,nordicbank_phrasebank,edge_case_unique_80pct,126,126,['CURRENCY_AMOUNT'],1,23.400000000000002,multi_stage_presidio,True
PB_0089,"Recurring payment to subscription: company went bankrupt, payments keep processing to defunct account. How to stop?",complex_transactions,medium,nordicbank_phrasebank,edge_case_unique_80pct,115,115,[],0,20.8,multi_stage_presidio,True
PB_0090,Cross-border SEPA transfer stuck for 12 business days. SEPA regulation says 1 day. What recourse?,complex_transactions,medium,nordicbank_phrasebank,edge_case_unique_80pct,97,97,[],0,19.5,multi_stage_presidio,True
PB_0091,Merchant refund processed but money went to closed account I used for purchase. Where are funds?,complex_transactions,medium,nordicbank_phrasebank,edge_case_unique_80pct,96,96,[],0,20.8,multi_stage_presidio,True
PB_0092,Payment reference contained special characters (émojis). Payment failed but fee still charged. Shouldn't there be validation?,complex_transactions,medium,nordicbank_phrasebank,edge_case_unique_80pct,125,125,[],0,20.8,multi_stage_presidio,True
PB_0093,"Batch payment file uploaded (100 payments). 3 failed, 97 succeeded. How to identify which failed without detailed logs?",complex_transactions,medium,nordicbank_phrasebank,edge_case_unique_80pct,119,119,[],0,23.400000000000002,multi_stage_presidio,True
